County,Category,Skilled_Construction_Worker,Status_of_Accreditation,Year_Accredited,Site_Supervisor,Class,Year_Accreditated_SS,Unacrredited,Number_applied,Gender,Age,Education,Other_Education,Q4,Q4_Others,Q5a,Q5b,Q5c,Q5cOthers,Q6,Q7a,Q7b,Q7c,Q8,Q8_Specify,Q9,Q9other,Q10,Q11,Q12a,Q12b,Q12c,Q12d,Q12e,Q12f,Q12g,Q12h,Q12i,Q12j,Q12k,Q12l,Q12m,Q12n,Q12o,Q12p,Q12q,Q12r,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q13j,Q13k,Q13l,Q13m,Q13n,Q13o,Q14a,Q14b,Q14c,Q14d,Q14e,Q14f,Q14g,Q14h,Q14i,Q14j,Q14k,Q14l,Q14m,Q14n,Q15,Q16,Q17,Q18,FAC1_1,FAC2_1,FAC3_1,FAC4_1,FAC5_1,FAC6_1,FAC7_1,FAC8_1,FAC9_1,FAC10_1,X1_Awareness,X2_Training,X3_Financial,X4_Process,X5_Recognition_and_Value,X6_Support_System,X7_Stakeholder_committement,X8_Nature_of_Work,X9Legal_and_Institutional,X10_Devolved_Registration,X11Wages,Likelihood,Accreditation_Status,Probability,accreditation_status_2
MURANG'A,1,1,0, , , , ,2, ,1,4,4, ,0, ,PAINTER,1, ,SEMINARS,5,2,2, ,2, ,3, ,3, ,1,1,1,1,2,1,7,6,2,2,6,5,1,1,1,3,4,3,2,1,2,4,2,2,1,4,3,3,6,6,2,3,3,2,2,1,2,1,1,4,4,2,2,4,1,1,4,NO.,LACK OF INFORMATION,"CREATE MORE AWARENESS, MORE SITES VISITS",EDUCATE MORE AND REACH MANY,-1.26859449459414,-1.90438200739846,.99903796711914,-.0366406691466485,-.244785379003236,.831875604507138,.37914365316636,-1.18763989267863,-1.55035416247722,-.788627923379609,1.2,4,3.5,2.4,2.2,3.16666666666667,3.5,1.66666666666667,2.4,2,2.5, ,0, ,1
MURANG'A,1,1,0, , , , ,1,1,1,6,3, ,1, ,MASON,2,1, ,5,2, , ,2, ,2, ,3,7,7,7,5,6,7,7,7,7,7,7,7,7,7,1,7,1,1,1,4,7,7,6,7,7,7,7,7,1,1,1,6,1,1,6,7,7,7,1,7,4,7,6,7,6,6,6,1,YES.JOB OPPORTUNITIES,DELAY OF CARDS,PRODUCE CARDS ON TIME,INCRASE WAGES,.899785255076057,.698639216123566,-3.24090291351824,-1.49106766742518,.265098987464167,2.02973319731754,1.0165629932739,1.30447937810631,1.09379855877308,.393563778074224,6.4,7,7,2.2,6.2,5,2.25,6.66666666666667,5.2,6.5,4.75,1,1,1,1
MURANG'A,1,1,0, , , , ,2, ,1,4,2, ,1, ,MASON,2,1, ,2,2,2, ,2, ,2, ,2,6,6,4,4,4,4,4,4,4,4,7,4,1,1,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,4,YES.JOB OPPORTUNITIES,LACK OF AWARENESS,INCREASE SITES VISITS, ,-.0347758428787009,-.681304308611497,.549464529398108,-.710175793968355,.276874742483359,.00103878259721027,-.922283454919008,-.165663253314068,.265791479747369,.579371983150669,4.4,4,3.25,4,4.6,4,4,4,4.6,4,4,1,0,.857142857142857,1
MURANG'A,1,1,0, , , , ,1,1,1,3,3, ,2, ,"MASON, STEEL FIXER , PLUMER",1,2, ,1,1, , ,2, ,5, ,1,3,3,3,5,6,4,5,4,6,4,6,4,5,4,5,3,5,4,5,5,6,5,4,6,5,7,5,6,5,6,4,5,7,5,5,6,5,6,7,5,6,5,7,5,6,7,6,6,YES,LACK OF AWARENESS,INCREAS ACCESS OF NCA'S OFFICES,TRAININING AND LEARNING PROGRAMS,.513959659411202,.125907794309275,.407993924908564,.0737505977349244,1.26172611929122,.36307066455381,-.380577098867736,-.102275001639161,.11534104692123,-1.03319804270514,4.2,4.75,4.75,4.4,5.2,5.66666666666667,5.25,5.33333333333333,5.8,6,6.25,0,1,.428571428571429,1
NYERI,1,1,0, , , , ,1,2,1,3,6, ,1, ,STEEL FIXER,2,1, ,1,1,2, ,2, ,1, ,1,7,7,7,7,1,1,4,7,7,7,1,1,1,1,6,1,1,1,1,1,1,1,3,3,1,3,5,5,3,2,4,3,2,4,2,1,2,1,1,2,2,3,4,4,3,4,5,6,YES. EXPOSURE,LACK OF INFORMATION,CREATE MORE AWARENESS,MORE APPLICATIONS,-2.64268516746494,-.651742272820008,-.0245275635265735,-1.17581092093843,.957762271312054,-1.29301235457711,1.73037421903222,-.443951975874826,.134130244185944,1.06480192834828,4.6,6.25,1,2,1.8,3.16666666666667,3.25,1.66666666666667,1.8,4,4.5,1,1,1,1
NYER,1,1,0, , , , ,1,1,1,3,2, ,1, ,CARPENTER,1,2, ,2,2, , ,2, ,2, ,2,7,7,7,7,1,7,1,7,7,7,7,1,7,7,1,7,7,7,1,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,YES.RECOGNITION,DELAY OF CARDS,ALLOCATE NCA OFFICES AROUND THE COUNTRY, ,1.43862480473554,-1.05681591404828,.773543492435247,.677295076859978,1.95539622578709,-.276843343187525,1.25943417731598,.246406369067258,-1.97271135253495,1.16240979496725,5.8,5.5,5.5,4.6,7,6,7,7,7,4,7,1,1,1,1
NYERI,1,1,0, , , , ,1,1,1,8,3, ,2, ,CARPENTER,2,1, ,5,2,2, ,2, ,2, ,2,7,7,5,7,7,7,7,7,7,7,7,7,1,3,1,7,1,1,1,1,7,7,1,1,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,YES.,DELAY OF CARDS,PRODUCE CARDS ON TIME,PRODUCE CARDS ON TIME,.176970206028889,1.6995118545258,1.21852504014537,-2.58060792713154,-1.90266619440896,1.6218909434599,.558803969490869,-.642055941939292,1.0225613203482,.805119102270362,6.6,7,4.5,2.2,3.4,7,5.5,7,7,7,1,1,1,1,1
NYERI,1,1,0, , , , ,1,1,1,5,2, ,7, ,MASON,2,1, ,2,1,2, ,2, ,2, ,1,7,1,1,7,1,1,7,7,4,4,1,1,1,1,1,7,7,1,1,1,5,1,4,1,6,1,4,1,4,4,1,3,1,1,1,1,1,1,4,2,1,1,6,6,7,7,7,7,NO,REDUCE FEES,PRODUCE CARDS ON TIME,PRODUCE CARDS ON TIME,-2.95490894433287,.595034559799094,-.83358102747669,-.603237567786263,2.06041469685035,-1.97769972978468,.990547778957411,.70826531061703,-.547453835164048,-.464774227925565,2.2,5.5,1,3.4,2.4,3.33333333333333,1.5,1,1.8,6,7,1,1,1,1
NYERI,1,1,0, , , , ,2, ,1,5,2, ,1, ,MASON,1,2, ,5,1,2, ,2, ,1, ,2,6,5,5,1,5,3,7,7,7,3,3,5,3,4,5,1,1,1,1,3,3,3,4,5,4,5,5,6,1,1,3,6,1,1,7,3,3,5,5,4,4,2,4,4,5,1,4,1,YES,REDUCE FEES,EMPOWERMENT, ,-.24565373173728,.0645281399345358,-1.1295599203597,-1.28822470596108,-.714886834186609,.725936725553518,1.28701593545745,-.464686764350003,.20338820823407,-.167428842922121,3.8,6,3.75,1.8,3.6,3.66666666666667,2.75,4.33333333333333,4,4,2.75,1,0,.857142857142857,1
MURANG'A,1,1,0, , , , ,1,1,1,6,2, ,1, ,STEEL FIXER,1,2, ,5,2, , ,2, ,2, ,1,6,5,5,1,5,1,6,6,6,1,6,6,1,1,2,6,1,1,2,7,7,7,5,3,6,6,6,5,4,1,6,4,5,5,6,6,7,4,5,4,1,7,5,4,1,7,1,4,YES.JOB OPPORTUNITIES,DELAY OF CARDS,PRODUCE CARDS ON TIME, ,1.42622276485002,-.545714354383162,.644816710445046,-2.04573262454949,-.52799048527675,-.0167366332499984,-.328912182121975,.363612552920994,.0466377040752145,.0780954916521695,3.4,4.75,3.5,2.4,5.8,4.66666666666667,5,6.33333333333333,4.2,4.5,3.25,1,1,.857142857142857,1
